character,character_gender,description,book_id,title,year,language,authors,notes
Charlie Johns ,he/him,man,mdp.39015014854346,Venus plus X / Theodore Sturgeon.,1960,eng,"Sturgeon, Theodore",future utopia one neutered gender
Seace,he/him,gender-neutral,mdp.39015014854346,Venus plus X / Theodore Sturgeon.,1960,eng,"Sturgeon, Theodore",future utopia one neutered gender
Philos,he/him,gender-neutral,mdp.39015014854346,Venus plus X / Theodore Sturgeon.,1960,eng,"Sturgeon, Theodore",future utopia one neutered gender
Marian MacAlpin,she/her,woman,mdp.39015004274349,The edible woman [by] Margaret Atwood.,1969,eng,"Atwood, Margaret 1939-",themes of sexual identity loss and alienation
"Peter Wollander",he/him,man,mdp.39015004274349,The edible woman [by] Margaret Atwood.,1969,eng,"Atwood, Margaret 1939-",themes of sexual identity loss and alienation
Clara Bates,she/her,woman,mdp.39015004274349,The edible woman [by] Margaret Atwood.,1969,eng,"Atwood, Margaret 1939-",themes of sexual identity loss and alienation
Estraven,he/him,androgynous sex-changing alien,mdp.39015052467530,The left hand of darkness / by Ursula K. LeGuin.,1969,eng,"Le Guin, Ursula K. 1929-",Species on alien planet can change sex throughout their lifetime
Genly Ai,he/him,man,mdp.39015052467530,The left hand of darkness / by Ursula K. LeGuin.,1969,eng,"Le Guin, Ursula K. 1929-",Species on alien planet can change sex throughout their lifetime
Argaven,he/him,androgynous sex-changing alien,mdp.39015052467530,The left hand of darkness / by Ursula K. LeGuin.,1969,eng,"Le Guin, Ursula K. 1929-",Species on alien planet can change sex throughout their lifetime
Tenar,she/her,woman,uc1.32106014299314,The tombs of Atuan [by] Ursula K. Le Guin. Illustrated by Gail Garraty.,1971,eng,"Le Guin, Ursula K. 1929-; Garraty, Gail",might pull back out
Sparrowhawk,he/him,man,uc1.32106014299314,The tombs of Atuan [by] Ursula K. Le Guin. Illustrated by Gail Garraty.,1971,eng,"Le Guin, Ursula K. 1929-; Garraty, Gail",might pull back out
Tis'turzhin,he/him,god,mdp.39015019357808,The flying sorcerers / David Gerrold and Larry Niven.,1971,eng,"Gerrold, David; Niven, Larry",might pull back out
Eccar the Man,he/him,man turned god,mdp.39015019357808,The flying sorcerers / David Gerrold and Larry Niven.,1971,eng,"Gerrold, David; Niven, Larry",might pull back out
HARLIE,he/him,computer,mdp.39015000654106,When Harlie was one; a novel.,1972,eng,"Gerrold, David 1944-",might pull back out
David Auberson,he/him,man,mdp.39015000654106,When Harlie was one; a novel.,1972,eng,"Gerrold, David 1944-",might pull back out
Dua,she/her,Emotional (feminine future gender),mdp.39015020729649,The gods themselves.,1972,eng,"Asimov, Isaac 1920-1992","recommended by prof, gender fluid main character"
Tritt,he/him,Rational (masucline-esque third future gender),mdp.39015020729649,The gods themselves.,1972,eng,"Asimov, Isaac 1920-1992","recommended by prof, gender fluid main character"
Denison,he/him,man,mdp.39015020729649,The gods themselves.,1972,eng,"Asimov, Isaac 1920-1992","recommended by prof, gender fluid main character"
Luciente,she/her,androgynous woman,mdp.39015000244577,Woman on the edge of time / Marge Piercy.,1976,eng,"Piercy, Marge","LGBTQIA+ Equality, androgyny"
Jackrabbit,per/person,non-gendered,mdp.39015000244577,Woman on the edge of time / Marge Piercy.,1976,eng,"Piercy, Marge",
Connie,she/her,woman,mdp.39015000244577,Woman on the edge of time / Marge Piercy.,1976,eng,"Piercy, Marge","LGBTQIA+ Equality, androgyny"
Daniel,he/him,male,mdp.49015000682998,The man who folded himself / David Gerrold.,1976,eng,"Gerrold, David 1944-",character has multiple versions of himself across different timelines including one that is a woman
Diane,she/her,female,mdp.49015000682998,The man who folded himself / David Gerrold.,1976,eng,"Gerrold, David 1944-",character has multiple versions of himself across different timelines including one that is a woman
Uncle Jim,he/him,male,mdp.49015000682998,The man who folded himself / David Gerrold.,1976,eng,"Gerrold, David 1944-",character has multiple versions of himself across different timelines including one that is a woman
